 X,Y,dx,dy,length,direction,max_corrcoeff,avg_corrcoeff
    1226380.0000,    5055060.0000,          0.2500,          0.0000,          0.2500,         90.0000,          0.9799,          0.2214
    1226380.0000,    5055020.0000,          0.0000,         -2.0000,          2.0000,        180.0000,          0.9876,          0.2547
    1226380.0000,    5054980.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9975,          0.3382
    1226380.0000,    5054940.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9989,          0.3682
    1226380.0000,    5054900.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9991,          0.3772
    1226380.0000,    5054860.0000,          0.0000,        -14.0000,         14.0000,        180.0000,          0.9977,          0.3800
    1226380.0000,    5054820.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9988,          0.3756
    1226380.0000,    5054780.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9991,          0.3538
    1226380.0000,    5054740.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9994,          0.3437
    1226380.0000,    5054700.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9996,          0.3182
    1226380.0000,    5054660.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9958,          0.3120
    1226380.0000,    5054620.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9938,          0.3235
    1226380.0000,    5054580.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9983,          0.3554
    1226380.0000,    5054540.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9990,          0.3772
    1226380.0000,    5054500.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9985,          0.3876
    1226380.0000,    5054460.0000,          0.0000,         -0.2500,          0.2500,        180.0000,          0.9921,          0.3579
    1226380.0000,    5054420.0000,          0.0000,         -0.7500,          0.7500,        180.0000,          0.9831,          0.3234
    1226380.0000,    5054380.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9709,          0.3009
    1226380.0000,    5054340.0000,          0.0000,         -0.7500,          0.7500,        180.0000,          0.9799,          0.2945
    1226380.0000,    5054300.0000,          0.0000,         -0.5000,          0.5000,        180.0000,          0.9922,          0.3132
    1226380.0000,    5054260.0000,          0.0000,         -0.2500,          0.2500,        180.0000,          0.9895,          0.2951
    1226380.0000,    5054220.0000,          0.0000,         -0.2500,          0.2500,        180.0000,          0.9917,          0.2650
