 X,Y,dx,dy,length,direction,max_corrcoeff,avg_corrcoeff
    1226380.0000,    5055060.0000,         -0.2500,          0.0000,          0.2500,        270.0000,          0.9458,          0.1988
    1226380.0000,    5055020.0000,          0.0000,         -2.5000,          2.5000,        180.0000,          0.9398,          0.2647
    1226380.0000,    5054980.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9893,          0.3379
    1226380.0000,    5054940.0000,         -0.2500,         -0.5000,          0.5590,        206.5650,          0.9840,          0.3584
    1226380.0000,    5054900.0000,          0.0000,         -2.0000,          2.0000,        180.0000,          0.9797,          0.3574
    1226380.0000,    5054860.0000,          0.0000,         -2.0000,          2.0000,        180.0000,          0.9841,          0.4322
    1226380.0000,    5054820.0000,         -0.2500,          0.0000,          0.2500,        270.0000,          0.9906,          0.4159
    1226380.0000,    5054780.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9937,          0.3548
    1226380.0000,    5054740.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9937,          0.3321
    1226380.0000,    5054700.0000,          0.0000,         -0.2500,          0.2500,        180.0000,          0.9938,          0.3095
    1226380.0000,    5054660.0000,          0.0000,          0.2500,          0.2500,          0.0000,          0.9830,          0.2986
    1226380.0000,    5054620.0000,          0.0000,          0.2500,          0.2500,          0.0000,          0.9809,          0.2866
    1226380.0000,    5054580.0000,          0.0000,          0.2500,          0.2500,          0.0000,          0.9920,          0.3145
    1226380.0000,    5054540.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9943,          0.3334
    1226380.0000,    5054500.0000,          0.0000,          6.0000,          6.0000,          0.0000,          0.9492,          0.2824
    1226380.0000,    5054460.0000,         -0.2500,          1.5000,          1.5207,        350.5377,          0.9135,          0.2989
    1226380.0000,    5054420.0000,          0.0000,         -2.0000,          2.0000,        180.0000,          0.9371,          0.2833
    1226380.0000,    5054380.0000,         -0.2500,          0.2500,          0.3536,        315.0000,          0.9030,          0.2555
    1226380.0000,    5054340.0000,          0.0000,          0.2500,          0.2500,          0.0000,          0.9026,          0.2390
    1226380.0000,    5054300.0000,          0.0000,         -0.2500,          0.2500,        180.0000,          0.9754,          0.2833
    1226380.0000,    5054260.0000,         -0.2500,          0.0000,          0.2500,        270.0000,          0.9166,          0.2128
    1226380.0000,    5054220.0000,          0.0000,          0.2500,          0.2500,          0.0000,          0.9255,          0.2068
    1226380.0000,    5054180.0000,          0.2500,          0.2500,          0.3536,         45.0000,          0.9618,          0.2629
    1226380.0000,    5054140.0000,          0.5000,          0.2500,          0.5590,         63.4349,          0.9323,          0.2661
    1226380.0000,    5054100.0000,          0.0000,         -1.0000,          1.0000,        180.0000,          0.9481,          0.2524
    1226380.0000,    5054060.0000,          0.0000,         -0.5000,          0.5000,        180.0000,          0.9858,          0.2426
    1226380.0000,    5054020.0000,          0.0000,         -0.7500,          0.7500,        180.0000,          0.9858,          0.2426
    1226380.0000,    5053980.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9775,          0.2677
    1226380.0000,    5053940.0000,          0.0000,        -26.0000,         26.0000,        180.0000,          0.9926,          0.3057
    1226380.0000,    5053900.0000,          0.0000,          6.0000,          6.0000,          0.0000,          0.9934,          0.3266
    1226380.0000,    5053860.0000,          0.0000,          6.0000,          6.0000,          0.0000,          0.9855,          0.3176
    1226380.0000,    5053820.0000,         -0.2500,         40.0000,         40.0008,        359.6419,          0.8908,          0.2600
    1226380.0000,    5053780.0000,         -0.2500,         40.7500,         40.7508,        359.6485,          0.8550,          0.1990
    1226380.0000,    5053740.0000,          0.0000,         -1.7500,          1.7500,        180.0000,          0.9787,          0.2155
    1226380.0000,    5053700.0000,          0.0000,         -4.0000,          4.0000,        180.0000,          0.9986,          0.2561
    1226380.0000,    5053660.0000,          0.0000,        -58.0000,         58.0000,        180.0000,          0.9994,          0.2826
    1226380.0000,    5053620.0000,          0.0000,          8.0000,          8.0000,          0.0000,          0.9988,          0.2909
    1226380.0000,    5053580.0000,          0.0000,        -64.0000,         64.0000,        180.0000,          0.9936,          0.3233
    1226380.0000,    5053540.0000,          0.0000,        -62.0000,         62.0000,        180.0000,          0.9910,          0.3470
    1226380.0000,    5053500.0000,          0.0000,         26.0000,         26.0000,          0.0000,          0.9877,          0.3506
    1226380.0000,    5053460.0000,          0.0000,          6.0000,          6.0000,          0.0000,          0.9886,          0.3348
    1226380.0000,    5053420.0000,          0.0000,         40.0000,         40.0000,          0.0000,          0.9974,          0.3107
    1226380.0000,    5053380.0000,          0.0000,         42.0000,         42.0000,          0.0000,          0.9993,          0.3094
    1226380.0000,    5053340.0000,          0.0000,         56.0000,         56.0000,          0.0000,          0.9991,          0.3151
    1226380.0000,    5053300.0000,          0.0000,         54.0000,         54.0000,          0.0000,          0.9969,          0.3147
    1226380.0000,    5053260.0000,          0.0000,        -12.0000,         12.0000,        180.0000,          0.9952,          0.3226
    1226380.0000,    5053220.0000,         -0.2500,         38.0000,         38.0008,        359.6231,          0.9695,          0.3169
    1226380.0000,    5053180.0000,         -0.2500,        -56.0000,         56.0006,        180.2558,          0.9728,          0.3182
    1226380.0000,    5053140.0000,          0.0000,        -64.0000,         64.0000,        180.0000,          0.9959,          0.3231
    1226380.0000,    5053100.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9974,          0.3081
    1226380.0000,    5053060.0000,          0.0000,         -4.0000,          4.0000,        180.0000,          0.9981,          0.3033
    1226380.0000,    5053020.0000,          0.0000,         -2.0000,          2.0000,        180.0000,          0.9968,          0.3030
    1226380.0000,    5052980.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9965,          0.3065
    1226380.0000,    5052940.0000,          0.0000,          2.0000,          2.0000,          0.0000,          0.9929,          0.3062
    1226380.0000,    5052900.0000,          0.0000,        -34.0000,         34.0000,        180.0000,          0.9950,          0.3066
    1226380.0000,    5052860.0000,          0.0000,         -4.0000,          4.0000,        180.0000,          0.9986,          0.2948
    1226380.0000,    5052820.0000,          0.0000,         -0.5000,          0.5000,        180.0000,          0.9967,          0.2915
    1226380.0000,    5052780.0000,          0.0000,         -0.2500,          0.2500,        180.0000,          0.9972,          0.3044
    1226380.0000,    5052740.0000,          0.0000,         -0.2500,          0.2500,        180.0000,          0.9916,          0.2944
    1226380.0000,    5052700.0000,          0.0000,         -0.5000,          0.5000,        180.0000,          0.9913,          0.2266
    1226380.0000,    5052660.0000,          0.0000,         -0.2500,          0.2500,        180.0000,          0.9964,          0.2698
    1226380.0000,    5052620.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9912,          0.2782
    1226380.0000,    5052580.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9898,          0.3149
    1226380.0000,    5052540.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9734,          0.3189
    1226380.0000,    5052500.0000,          0.0000,         -1.2500,          1.2500,        180.0000,          0.9577,          0.2990
    1226380.0000,    5052460.0000,          0.0000,         -1.5000,          1.5000,        180.0000,          0.9877,          0.3150
    1226380.0000,    5052420.0000,          0.0000,         -2.0000,          2.0000,        180.0000,          0.9959,          0.3228
    1226380.0000,    5052380.0000,          0.2500,         -2.0000,          2.0156,        172.8750,          0.9959,          0.3182
    1226380.0000,    5052340.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9977,          0.3341
    1226380.0000,    5052300.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9985,          0.3200
    1226380.0000,    5052260.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9981,          0.3076
    1226380.0000,    5052220.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9980,          0.3034
    1226380.0000,    5052180.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9988,          0.3083
    1226380.0000,    5052140.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9974,          0.3000
    1226380.0000,    5052100.0000,          0.0000,         -0.5000,          0.5000,        180.0000,          0.9939,          0.2914
    1226380.0000,    5052060.0000,          0.0000,         -0.5000,          0.5000,        180.0000,          0.9900,          0.2988
    1226380.0000,    5052020.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9930,          0.3119
    1226380.0000,    5051980.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9991,          0.3027
    1226380.0000,    5051940.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9988,          0.2978
    1226380.0000,    5051900.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9989,          0.2959
    1226380.0000,    5051860.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9975,          0.2939
    1226380.0000,    5051820.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9969,          0.3062
    1226380.0000,    5051780.0000,          0.0000,        -56.0000,         56.0000,        180.0000,          0.9962,          0.3259
    1226380.0000,    5051740.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9969,          0.3310
    1226380.0000,    5051700.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9984,          0.3302
    1226380.0000,    5051660.0000,          0.0000,         -2.0000,          2.0000,        180.0000,          0.9977,          0.3219
    1226380.0000,    5051620.0000,          0.0000,         -2.0000,          2.0000,        180.0000,          0.9977,          0.3169
    1226380.0000,    5051580.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9995,          0.3210
    1226380.0000,    5051540.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9991,          0.3145
    1226380.0000,    5051500.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9988,          0.3080
    1226380.0000,    5051460.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9977,          0.3001
    1226380.0000,    5051420.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9978,          0.2992
    1226380.0000,    5051380.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9941,          0.3101
