 X,Y,dx,dy,length,direction,max_corrcoeff,avg_corrcoeff
    1226380.0000,    5055060.0000,         -0.2500,         -0.5000,          0.5590,        206.5650,          0.9305,          0.1832
    1226380.0000,    5055020.0000,          0.0000,         -2.0000,          2.0000,        180.0000,          0.9594,          0.2081
    1226380.0000,    5054980.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9915,          0.2663
    1226380.0000,    5054940.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9937,          0.2983
    1226380.0000,    5054900.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9962,          0.3107
    1226380.0000,    5054860.0000,          0.0000,         -2.0000,          2.0000,        180.0000,          0.9991,          0.2920
    1226380.0000,    5054820.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9996,          0.2955
    1226380.0000,    5054780.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9995,          0.3042
    1226380.0000,    5054740.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9996,          0.3058
    1226380.0000,    5054700.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9995,          0.3020
    1226380.0000,    5054660.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9960,          0.2891
    1226380.0000,    5054620.0000,          0.0000,          0.2500,          0.2500,          0.0000,          0.9913,          0.2934
    1226380.0000,    5054580.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9980,          0.3326
    1226380.0000,    5054540.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9993,          0.3465
    1226380.0000,    5054500.0000,          0.0000,        -52.0000,         52.0000,        180.0000,          0.9916,          0.3496
    1226380.0000,    5054460.0000,          0.0000,          2.0000,          2.0000,          0.0000,          0.9805,          0.3318
    1226380.0000,    5054420.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9899,          0.3091
    1226380.0000,    5054380.0000,          0.0000,         -2.0000,          2.0000,        180.0000,          0.9816,          0.3126
    1226380.0000,    5054340.0000,          0.0000,         -2.0000,          2.0000,        180.0000,          0.9837,          0.3193
    1226380.0000,    5054300.0000,          0.0000,         -0.2500,          0.2500,        180.0000,          0.9946,          0.3218
    1226380.0000,    5054260.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9897,          0.3180
    1226380.0000,    5054220.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9905,          0.2779
