 X,Y,dx,dy,length,direction,max_corrcoeff,avg_corrcoeff
    1226380.0000,    5055060.0000,         -0.2500,         -0.2500,          0.3536,        225.0000,          0.9036,          0.1751
    1226380.0000,    5055020.0000,         -0.2500,         -1.2500,          1.2748,        191.3099,          0.9179,          0.2035
    1226380.0000,    5054980.0000,          0.0000,          0.5000,          0.5000,          0.0000,          0.9746,          0.3013
    1226380.0000,    5054940.0000,          0.2500,          0.0000,          0.2500,         90.0000,          0.9737,          0.3310
    1226380.0000,    5054900.0000,          0.0000,        -40.0000,         40.0000,        180.0000,          0.9807,          0.3659
    1226380.0000,    5054860.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9919,          0.3679
    1226380.0000,    5054820.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9957,          0.3650
    1226380.0000,    5054780.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9963,          0.3496
    1226380.0000,    5054740.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9968,          0.3617
    1226380.0000,    5054700.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9970,          0.3731
    1226380.0000,    5054660.0000,          0.0000,          0.2500,          0.2500,          0.0000,          0.9916,          0.3869
    1226380.0000,    5054620.0000,          0.0000,          0.2500,          0.2500,          0.0000,          0.9841,          0.3412
    1226380.0000,    5054580.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9955,          0.3160
    1226380.0000,    5054540.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9976,          0.2899
    1226380.0000,    5054500.0000,          0.0000,          2.0000,          2.0000,          0.0000,          0.9931,          0.2756
    1226380.0000,    5054460.0000,          0.0000,         -2.0000,          2.0000,        180.0000,          0.9793,          0.2710
    1226380.0000,    5054420.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9882,          0.2825
    1226380.0000,    5054380.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9851,          0.2828
    1226380.0000,    5054340.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9847,          0.2764
    1226380.0000,    5054300.0000,          0.0000,         -0.5000,          0.5000,        180.0000,          0.9923,          0.2805
    1226380.0000,    5054260.0000,          0.0000,         -0.5000,          0.5000,        180.0000,          0.9694,          0.2763
    1226380.0000,    5054220.0000,          0.0000,         -0.5000,          0.5000,        180.0000,          0.9831,          0.3317
    1226380.0000,    5054180.0000,          0.2500,          0.0000,          0.2500,         90.0000,          0.9882,          0.3807
    1226380.0000,    5054140.0000,          0.2500,         -0.5000,          0.5590,        153.4349,          0.9706,          0.3615
    1226380.0000,    5054100.0000,          0.0000,         -0.2500,          0.2500,        180.0000,          0.9905,          0.3299
    1226380.0000,    5054060.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9946,          0.3221
