 X,Y,dx,dy,length,direction,max_corrcoeff,avg_corrcoeff
    1226380.0000,    5055060.0000,         -0.5000,         -0.2500,          0.5590,        243.4349,          0.9247,          0.1852
    1226380.0000,    5055020.0000,         -0.2500,         -2.5000,          2.5125,        185.7106,          0.9276,          0.2466
    1226380.0000,    5054980.0000,          0.2500,          0.0000,          0.2500,         90.0000,          0.9846,          0.3341
    1226380.0000,    5054940.0000,         -0.2500,          0.0000,          0.2500,        270.0000,          0.9754,          0.3606
    1226380.0000,    5054900.0000,          0.0000,         -6.0000,          6.0000,        180.0000,          0.9781,          0.3861
    1226380.0000,    5054860.0000,          0.0000,         -2.0000,          2.0000,        180.0000,          0.9936,          0.4311
    1226380.0000,    5054820.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9947,          0.4299
    1226380.0000,    5054780.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9958,          0.3711
    1226380.0000,    5054740.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9960,          0.3657
    1226380.0000,    5054700.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9964,          0.3585
    1226380.0000,    5054660.0000,          0.0000,          0.2500,          0.2500,          0.0000,          0.9908,          0.3725
    1226380.0000,    5054620.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9842,          0.3361
    1226380.0000,    5054580.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9948,          0.3152
    1226380.0000,    5054540.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9966,          0.3076
    1226380.0000,    5054500.0000,          0.0000,          2.0000,          2.0000,          0.0000,          0.9846,          0.2969
    1226380.0000,    5054460.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9725,          0.3016
    1226380.0000,    5054420.0000,          0.0000,         -0.5000,          0.5000,        180.0000,          0.9819,          0.2994
    1226380.0000,    5054380.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9689,          0.2845
    1226380.0000,    5054340.0000,          0.0000,         -1.0000,          1.0000,        180.0000,          0.9702,          0.2732
