 X,Y,dx,dy,length,direction,max_corrcoeff,avg_corrcoeff
    1226380.0000,    5055060.0000,          0.2500,          0.0000,          0.2500,         90.0000,          0.9657,          0.2186
    1226380.0000,    5055020.0000,          0.0000,         -2.0000,          2.0000,        180.0000,          0.9812,          0.2631
    1226380.0000,    5054980.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9973,          0.3402
    1226380.0000,    5054940.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9972,          0.3565
    1226380.0000,    5054900.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9975,          0.3492
    1226380.0000,    5054860.0000,          0.0000,        -14.0000,         14.0000,        180.0000,          0.9948,          0.3317
    1226380.0000,    5054820.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9973,          0.3192
    1226380.0000,    5054780.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9977,          0.3145
    1226380.0000,    5054740.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9988,          0.3136
    1226380.0000,    5054700.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9992,          0.2979
    1226380.0000,    5054660.0000,          0.0000,          0.2500,          0.2500,          0.0000,          0.9920,          0.2862
    1226380.0000,    5054620.0000,          0.0000,          0.5000,          0.5000,          0.0000,          0.9877,          0.2971
    1226380.0000,    5054580.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9965,          0.3392
    1226380.0000,    5054540.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9973,          0.3719
    1226380.0000,    5054500.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9976,          0.3853
    1226380.0000,    5054460.0000,          0.0000,         -1.5000,          1.5000,        180.0000,          0.9870,          0.3470
    1226380.0000,    5054420.0000,          0.0000,         -1.0000,          1.0000,        180.0000,          0.9714,          0.3086
    1226380.0000,    5054380.0000,          0.0000,         -0.7500,          0.7500,        180.0000,          0.9484,          0.2856
    1226380.0000,    5054340.0000,          0.0000,         -0.7500,          0.7500,        180.0000,          0.9628,          0.2849
    1226380.0000,    5054300.0000,          0.2500,         -0.7500,          0.7906,        161.5651,          0.9840,          0.3069
    1226380.0000,    5054260.0000,          0.0000,         -0.5000,          0.5000,        180.0000,          0.9788,          0.2947
    1226380.0000,    5054220.0000,          0.0000,         -0.5000,          0.5000,        180.0000,          0.9824,          0.2498
    1226380.0000,    5054180.0000,          0.0000,         -0.5000,          0.5000,        180.0000,          0.9745,          0.2331
    1226380.0000,    5054140.0000,         -0.2500,         -1.7500,          1.7678,        188.1301,          0.9246,          0.2175
    1226380.0000,    5054100.0000,         -0.2500,         -1.0000,          1.0308,        194.0362,          0.9670,          0.2640
    1226380.0000,    5054060.0000,          0.2500,         -1.0000,          1.0308,        165.9638,          0.9934,          0.2980
    1226380.0000,    5054020.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9982,          0.2839
    1226380.0000,    5053980.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9972,          0.2767
    1226380.0000,    5053940.0000,          0.0000,         26.0000,         26.0000,          0.0000,          0.9990,          0.2761
    1226380.0000,    5053900.0000,          0.0000,          6.0000,          6.0000,          0.0000,          0.9983,          0.2833
    1226380.0000,    5053860.0000,          0.0000,         -8.0000,          8.0000,        180.0000,          0.9958,          0.2863
    1226380.0000,    5053820.0000,         -0.2500,          8.0000,          8.0039,        358.2101,          0.9697,          0.3011
    1226380.0000,    5053780.0000,          0.0000,          6.0000,          6.0000,          0.0000,          0.8848,          0.2715
    1226380.0000,    5053740.0000,          0.0000,         -1.7500,          1.7500,        180.0000,          0.9410,          0.2487
    1226380.0000,    5053700.0000,          0.0000,        -12.0000,         12.0000,        180.0000,          0.9639,          0.2747
    1226380.0000,    5053660.0000,          0.0000,        -64.0000,         64.0000,        180.0000,          0.9718,          0.2680
    1226380.0000,    5053620.0000,          0.0000,         26.0000,         26.0000,          0.0000,          0.9558,          0.2692
    1226380.0000,    5053580.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9159,          0.3101
    1226380.0000,    5053540.0000,         -0.5000,          6.0000,          6.0208,        355.2364,          0.8731,          0.3412
    1226380.0000,    5053500.0000,         -0.2500,         30.0000,         30.0010,        359.5225,          0.8553,          0.3280
    1226380.0000,    5053460.0000,         -0.2500,          4.0000,          4.0078,        356.4237,          0.8881,          0.3087
    1226380.0000,    5053420.0000,          0.2500,          2.0000,          2.0156,          7.1250,          0.9426,          0.2829
    1226380.0000,    5053380.0000,          0.2500,         42.0000,         42.0007,          0.3410,          0.9710,          0.2724
    1226380.0000,    5053340.0000,          0.2500,         54.0000,         54.0006,          0.2653,          0.9694,          0.2628
    1226380.0000,    5053300.0000,          0.0000,        -52.0000,         52.0000,        180.0000,          0.9623,          0.2471
    1226380.0000,    5053260.0000,          0.0000,        -14.0000,         14.0000,        180.0000,          0.9662,          0.2452
    1226380.0000,    5053220.0000,          0.0000,         -1.5000,          1.5000,        180.0000,          0.9127,          0.2407
    1226380.0000,    5053180.0000,          0.2500,         -0.7500,          0.7906,        161.5651,          0.8929,          0.2656
    1226380.0000,    5053140.0000,         -0.2500,         -0.7500,          0.7906,        198.4349,          0.9365,          0.2800
    1226380.0000,    5053100.0000,         -0.2500,         -0.5000,          0.5590,        206.5650,          0.9711,          0.2732
    1226380.0000,    5053060.0000,         -0.2500,          0.0000,          0.2500,        270.0000,          0.9691,          0.2660
    1226380.0000,    5053020.0000,         -0.2500,          0.0000,          0.2500,        270.0000,          0.9628,          0.2790
    1226380.0000,    5052980.0000,         -0.2500,          2.0000,          2.0156,        352.8750,          0.9494,          0.3212
