 X,Y,dx,dy,length,direction,max_corrcoeff,avg_corrcoeff
    1226380.0000,    5055060.0000,         -0.2500,         -0.5000,          0.5590,        206.5650,          0.9038,          0.1660
    1226380.0000,    5055020.0000,         -0.2500,         -1.7500,          1.7678,        188.1301,          0.9212,          0.1559
    1226380.0000,    5054980.0000,          0.0000,          0.2500,          0.2500,          0.0000,          0.9736,          0.2329
    1226380.0000,    5054940.0000,          0.0000,         -0.2500,          0.2500,        180.0000,          0.9854,          0.2904
    1226380.0000,    5054900.0000,         -0.2500,          0.0000,          0.2500,        270.0000,          0.9853,          0.3262
    1226380.0000,    5054860.0000,          0.0000,         -2.0000,          2.0000,        180.0000,          0.9938,          0.3158
    1226380.0000,    5054820.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9980,          0.3168
    1226380.0000,    5054780.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9983,          0.3244
    1226380.0000,    5054740.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9982,          0.3334
    1226380.0000,    5054700.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9978,          0.3393
    1226380.0000,    5054660.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9950,          0.3471
    1226380.0000,    5054620.0000,          0.0000,          0.2500,          0.2500,          0.0000,          0.9898,          0.3259
    1226380.0000,    5054580.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9972,          0.3048
    1226380.0000,    5054540.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9992,          0.2859
    1226380.0000,    5054500.0000,          0.0000,          4.0000,          4.0000,          0.0000,          0.9774,          0.2696
    1226380.0000,    5054460.0000,          0.0000,        -30.0000,         30.0000,        180.0000,          0.9624,          0.2620
    1226380.0000,    5054420.0000,          0.0000,         -2.0000,          2.0000,        180.0000,          0.9928,          0.2858
    1226380.0000,    5054380.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9944,          0.2889
    1226380.0000,    5054340.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9913,          0.2836
    1226380.0000,    5054300.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9975,          0.2801
    1226380.0000,    5054260.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9853,          0.2814
    1226380.0000,    5054220.0000,          0.0000,         -0.5000,          0.5000,        180.0000,          0.9915,          0.3109
    1226380.0000,    5054180.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9965,          0.3222
    1226380.0000,    5054140.0000,          0.2500,          0.0000,          0.2500,         90.0000,          0.9895,          0.3099
    1226380.0000,    5054100.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9967,          0.3046
    1226380.0000,    5054060.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9980,          0.3303
    1226380.0000,    5054020.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9954,          0.3831
    1226380.0000,    5053980.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9914,          0.4445
    1226380.0000,    5053940.0000,          0.0000,        -22.0000,         22.0000,        180.0000,          0.9992,          0.4555
    1226380.0000,    5053900.0000,          0.0000,         -4.0000,          4.0000,        180.0000,          0.9994,          0.4309
    1226380.0000,    5053860.0000,          0.0000,         -6.0000,          6.0000,        180.0000,          0.9988,          0.4157
    1226380.0000,    5053820.0000,          0.0000,          8.0000,          8.0000,          0.0000,          0.9674,          0.3735
    1226380.0000,    5053780.0000,          0.0000,         -2.0000,          2.0000,        180.0000,          0.9604,          0.3617
