 X,Y,dx,dy,length,direction,max_corrcoeff,avg_corrcoeff
    1226380.0000,    5055060.0000,         -0.2500,         -1.0000,          1.0308,        194.0362,          0.8382,          0.1409
    1226380.0000,    5055020.0000,         -0.5000,         -1.7500,          1.8200,        195.9454,          0.8726,          0.1201
    1226380.0000,    5054980.0000,          0.0000,          0.2500,          0.2500,          0.0000,          0.9590,          0.1840
    1226380.0000,    5054940.0000,          0.0000,         -0.2500,          0.2500,        180.0000,          0.9775,          0.2604
    1226380.0000,    5054900.0000,         -0.2500,          0.0000,          0.2500,        270.0000,          0.9769,          0.3081
    1226380.0000,    5054860.0000,          0.0000,         -2.0000,          2.0000,        180.0000,          0.9891,          0.2991
    1226380.0000,    5054820.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9971,          0.2992
    1226380.0000,    5054780.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9975,          0.3100
    1226380.0000,    5054740.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9971,          0.3193
    1226380.0000,    5054700.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9964,          0.3172
    1226380.0000,    5054660.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9915,          0.3265
    1226380.0000,    5054620.0000,          0.0000,          0.2500,          0.2500,          0.0000,          0.9844,          0.3049
    1226380.0000,    5054580.0000,          0.0000,          0.2500,          0.2500,          0.0000,          0.9962,          0.2928
    1226380.0000,    5054540.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9987,          0.2786
    1226380.0000,    5054500.0000,          0.0000,          4.0000,          4.0000,          0.0000,          0.9657,          0.2542
    1226380.0000,    5054460.0000,          0.0000,          0.7500,          0.7500,          0.0000,          0.9285,          0.2423
    1226380.0000,    5054420.0000,          0.0000,         -2.0000,          2.0000,        180.0000,          0.9891,          0.2786
    1226380.0000,    5054380.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9925,          0.2866
    1226380.0000,    5054340.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9892,          0.2801
    1226380.0000,    5054300.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9963,          0.2715
    1226380.0000,    5054260.0000,          0.0000,         -0.2500,          0.2500,        180.0000,          0.9781,          0.2718
    1226380.0000,    5054220.0000,          0.0000,         -0.2500,          0.2500,        180.0000,          0.9873,          0.3115
    1226380.0000,    5054180.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9954,          0.3257
    1226380.0000,    5054140.0000,          0.2500,          0.0000,          0.2500,         90.0000,          0.9865,          0.3117
    1226380.0000,    5054100.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9956,          0.2998
    1226380.0000,    5054060.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9971,          0.3279
    1226380.0000,    5054020.0000,          0.0000,         -0.2500,          0.2500,        180.0000,          0.9932,          0.3799
    1226380.0000,    5053980.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9872,          0.4383
    1226380.0000,    5053940.0000,          0.0000,        -24.0000,         24.0000,        180.0000,          0.9987,          0.4514
    1226380.0000,    5053900.0000,          0.0000,         -4.0000,          4.0000,        180.0000,          0.9991,          0.4200
    1226380.0000,    5053860.0000,          0.0000,         -6.0000,          6.0000,        180.0000,          0.9980,          0.3916
    1226380.0000,    5053820.0000,          0.0000,          8.0000,          8.0000,          0.0000,          0.9616,          0.3404
    1226380.0000,    5053780.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9516,          0.3273
    1226380.0000,    5053740.0000,          0.0000,         -2.0000,          2.0000,        180.0000,          0.9747,          0.3809
    1226380.0000,    5053700.0000,          0.2500,         -6.0000,          6.0052,        177.6141,          0.9481,          0.3817
    1226380.0000,    5053660.0000,          0.0000,        -64.0000,         64.0000,        180.0000,          0.9725,          0.4042
    1226380.0000,    5053620.0000,         -0.2500,         38.0000,         38.0008,        359.6231,          0.9565,          0.3732
    1226380.0000,    5053580.0000,         -0.2500,         34.0000,         34.0009,        359.5787,          0.9318,          0.3184
    1226380.0000,    5053540.0000,          0.0000,         10.0000,         10.0000,          0.0000,          0.8969,          0.2658
    1226380.0000,    5053500.0000,         -0.2500,         26.0000,         26.0012,        359.4491,          0.8939,          0.2398
    1226380.0000,    5053460.0000,          0.0000,          4.0000,          4.0000,          0.0000,          0.8881,          0.2185
    1226380.0000,    5053420.0000,          0.0000,          2.0000,          2.0000,          0.0000,          0.9440,          0.2399
