 X,Y,dx,dy,length,direction,max_corrcoeff,avg_corrcoeff
    1226380.0000,    5055060.0000,         -0.2500,         -1.0000,          1.0308,        194.0362,          0.8926,          0.1587
    1226380.0000,    5055020.0000,         -0.2500,         -2.7500,          2.7613,        185.1944,          0.9254,          0.1621
    1226380.0000,    5054980.0000,          0.0000,         -0.2500,          0.2500,        180.0000,          0.9793,          0.2216
    1226380.0000,    5054940.0000,          0.0000,         -0.5000,          0.5000,        180.0000,          0.9868,          0.2724
    1226380.0000,    5054900.0000,         -0.2500,          0.0000,          0.2500,        270.0000,          0.9904,          0.2981
    1226380.0000,    5054860.0000,          0.0000,        -18.0000,         18.0000,        180.0000,          0.9966,          0.2874
    1226380.0000,    5054820.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9995,          0.2949
    1226380.0000,    5054780.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9995,          0.3083
    1226380.0000,    5054740.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9987,          0.3107
    1226380.0000,    5054700.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9984,          0.3029
    1226380.0000,    5054660.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9975,          0.2992
    1226380.0000,    5054620.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9941,          0.2964
    1226380.0000,    5054580.0000,          0.0000,         -0.2500,          0.2500,        180.0000,          0.9987,          0.2948
    1226380.0000,    5054540.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9998,          0.2919
    1226380.0000,    5054500.0000,          0.0000,          6.0000,          6.0000,          0.0000,          0.9807,          0.2812
    1226380.0000,    5054460.0000,          0.0000,          8.0000,          8.0000,          0.0000,          0.9724,          0.2734
    1226380.0000,    5054420.0000,          0.0000,         -4.0000,          4.0000,        180.0000,          0.9953,          0.2860
    1226380.0000,    5054380.0000,          0.0000,          2.0000,          2.0000,          0.0000,          0.9941,          0.2890
    1226380.0000,    5054340.0000,          0.0000,         -2.0000,          2.0000,        180.0000,          0.9917,          0.2870
    1226380.0000,    5054300.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9978,          0.2865
    1226380.0000,    5054260.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9907,          0.2850
    1226380.0000,    5054220.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9934,          0.2800
    1226380.0000,    5054180.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9975,          0.2792
    1226380.0000,    5054140.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9953,          0.2891
    1226380.0000,    5054100.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9967,          0.3106
    1226380.0000,    5054060.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9981,          0.3424
    1226380.0000,    5054020.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9980,          0.3699
    1226380.0000,    5053980.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9965,          0.3883
    1226380.0000,    5053940.0000,          0.0000,        -18.0000,         18.0000,        180.0000,          0.9998,          0.3755
    1226380.0000,    5053900.0000,          0.0000,         -2.0000,          2.0000,        180.0000,          0.9999,          0.3409
    1226380.0000,    5053860.0000,          0.0000,          8.0000,          8.0000,          0.0000,          0.9999,          0.3296
    1226380.0000,    5053820.0000,          0.0000,         -4.0000,          4.0000,        180.0000,          0.9576,          0.3361
    1226380.0000,    5053780.0000,          0.2500,          0.0000,          0.2500,         90.0000,          0.9411,          0.3331
    1226380.0000,    5053740.0000,          0.0000,         -0.7500,          0.7500,        180.0000,          0.9612,          0.4090
    1226380.0000,    5053700.0000,          0.0000,         -6.5000,          6.5000,        180.0000,          0.9626,          0.3828
    1226380.0000,    5053660.0000,          0.0000,         10.0000,         10.0000,          0.0000,          0.9744,          0.3907
    1226380.0000,    5053620.0000,          0.0000,         48.0000,         48.0000,          0.0000,          0.9717,          0.3785
    1226380.0000,    5053580.0000,         -0.2500,        -41.7500,         41.7507,        180.3431,          0.9131,          0.3358
    1226380.0000,    5053540.0000,         -0.2500,         12.0000,         12.0026,        358.8065,          0.8674,          0.2866
    1226380.0000,    5053500.0000,          0.0000,          0.2500,          0.2500,          0.0000,          0.8602,          0.2478
    1226380.0000,    5053460.0000,          0.0000,          5.7500,          5.7500,          0.0000,          0.8863,          0.2267
    1226380.0000,    5053420.0000,          0.0000,         62.0000,         62.0000,          0.0000,          0.9472,          0.2289
    1226380.0000,    5053380.0000,          0.0000,         16.0000,         16.0000,          0.0000,          0.9609,          0.2345
    1226380.0000,    5053340.0000,          0.0000,         56.0000,         56.0000,          0.0000,          0.9605,          0.2362
    1226380.0000,    5053300.0000,          0.0000,         52.0000,         52.0000,          0.0000,          0.9237,          0.2319
    1226380.0000,    5053260.0000,          0.0000,         -4.0000,          4.0000,        180.0000,          0.9358,          0.2268
    1226380.0000,    5053220.0000,          0.0000,         -2.0000,          2.0000,        180.0000,          0.9016,          0.2433
    1226380.0000,    5053180.0000,         -0.5000,        -56.0000,         56.0022,        180.5116,          0.9013,          0.2844
    1226380.0000,    5053140.0000,         -0.2500,        -38.0000,         38.0008,        180.3769,          0.9218,          0.2892
    1226380.0000,    5053100.0000,         -0.2500,          2.0000,          2.0156,        352.8750,          0.9645,          0.2681
    1226380.0000,    5053060.0000,         -0.2500,         -6.0000,          6.0052,        182.3859,          0.9660,          0.2552
    1226380.0000,    5053020.0000,         -0.2500,          0.0000,          0.2500,        270.0000,          0.9495,          0.2901
    1226380.0000,    5052980.0000,         -0.2500,          0.5000,          0.5590,        333.4350,          0.9379,          0.3311
    1226380.0000,    5052940.0000,         -0.2500,        -16.0000,         16.0020,        180.8952,          0.9261,          0.3652
    1226380.0000,    5052900.0000,          0.0000,        -22.0000,         22.0000,        180.0000,          0.9308,          0.3565
    1226380.0000,    5052860.0000,          0.0000,         52.5000,         52.5000,          0.0000,          0.9070,          0.3308
    1226380.0000,    5052820.0000,          0.0000,         -1.0000,          1.0000,        180.0000,          0.9418,          0.2898
    1226380.0000,    5052780.0000,          0.0000,         -0.5000,          0.5000,        180.0000,          0.9863,          0.2392
    1226380.0000,    5052740.0000,          0.0000,         -2.0000,          2.0000,        180.0000,          0.9904,          0.2638
    1226380.0000,    5052700.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9890,          0.3005
    1226380.0000,    5052660.0000,          0.0000,         -0.5000,          0.5000,        180.0000,          0.9811,          0.3253
    1226380.0000,    5052620.0000,         -0.2500,         -1.7500,          1.7678,        188.1301,          0.9504,          0.3329
    1226380.0000,    5052580.0000,         -0.2500,         -1.5000,          1.5207,        189.4623,          0.9381,          0.3137
    1226380.0000,    5052540.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9506,          0.2767
    1226380.0000,    5052500.0000,          0.2500,         -1.0000,          1.0308,        165.9638,          0.9319,          0.2538
    1226380.0000,    5052460.0000,          0.0000,         -1.2500,          1.2500,        180.0000,          0.9440,          0.2604
    1226380.0000,    5052420.0000,          0.0000,         -3.0000,          3.0000,        180.0000,          0.9757,          0.2550
    1226380.0000,    5052380.0000,          0.0000,         -2.2500,          2.2500,        180.0000,          0.9889,          0.2493
    1226380.0000,    5052340.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9951,          0.2252
    1226380.0000,    5052300.0000,          0.2500,          0.0000,          0.2500,         90.0000,          0.9940,          0.2409
    1226380.0000,    5052260.0000,          0.0000,         -0.5000,          0.5000,        180.0000,          0.9917,          0.2585
    1226380.0000,    5052220.0000,         -0.2500,         -0.5000,          0.5590,        206.5650,          0.9851,          0.2879
    1226380.0000,    5052180.0000,          0.0000,         -1.5000,          1.5000,        180.0000,          0.9768,          0.2924
    1226380.0000,    5052140.0000,          0.2500,          0.0000,          0.2500,         90.0000,          0.9712,          0.3008
    1226380.0000,    5052100.0000,         -0.2500,         -0.7500,          0.7906,        198.4349,          0.9691,          0.2991
    1226380.0000,    5052060.0000,          0.0000,         -0.5000,          0.5000,        180.0000,          0.9681,          0.3061
    1226380.0000,    5052020.0000,          0.0000,          0.2500,          0.2500,          0.0000,          0.9616,          0.3350
    1226380.0000,    5051980.0000,          0.0000,         -6.0000,          6.0000,        180.0000,          0.9731,          0.3458
    1226380.0000,    5051940.0000,          0.0000,         -2.0000,          2.0000,        180.0000,          0.9798,          0.3422
    1226380.0000,    5051900.0000,          0.0000,          0.5000,          0.5000,          0.0000,          0.9841,          0.3085
    1226380.0000,    5051860.0000,         -0.2500,         -0.2500,          0.3536,        225.0000,          0.9859,          0.2798
    1226380.0000,    5051820.0000,         -0.2500,         -1.7500,          1.7678,        188.1301,          0.9619,          0.3111
    1226380.0000,    5051780.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9263,          0.2889
    1226380.0000,    5051740.0000,          0.0000,         -2.0000,          2.0000,        180.0000,          0.9358,          0.2956
    1226380.0000,    5051700.0000,          0.0000,         -0.7500,          0.7500,        180.0000,          0.9810,          0.2953
    1226380.0000,    5051660.0000,         -0.2500,         -1.2500,          1.2748,        191.3099,          0.9635,          0.3479
    1226380.0000,    5051620.0000,         -0.2500,         -2.0000,          2.0156,        187.1250,          0.9751,          0.3853
    1226380.0000,    5051580.0000,         -0.2500,          0.0000,          0.2500,        270.0000,          0.9950,          0.3949
    1226380.0000,    5051540.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9960,          0.3651
    1226380.0000,    5051500.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9950,          0.3195
    1226380.0000,    5051460.0000,          0.0000,         -0.2500,          0.2500,        180.0000,          0.9936,          0.2795
    1226380.0000,    5051420.0000,          0.0000,         -0.2500,          0.2500,        180.0000,          0.9935,          0.2631
    1226380.0000,    5051380.0000,          0.0000,         -0.2500,          0.2500,        180.0000,          0.9603,          0.2607
    1226380.0000,    5051340.0000,         -0.2500,          0.2500,          0.3536,        315.0000,          0.9570,          0.2685
    1226380.0000,    5051300.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9962,          0.2968
    1226380.0000,    5051260.0000,          0.0000,         10.0000,         10.0000,          0.0000,          0.9855,          0.3006
    1226380.0000,    5051220.0000,          0.0000,         -2.0000,          2.0000,        180.0000,          0.9867,          0.2990
    1226380.0000,    5051180.0000,          0.0000,         66.0000,         66.0000,          0.0000,          0.9696,          0.2996
    1226380.0000,    5051140.0000,          0.0000,         66.2500,         66.2500,          0.0000,          0.9603,          0.2986
    1226380.0000,    5051100.0000,          0.0000,         68.5000,         68.5000,          0.0000,          0.8397,          0.2864
    1226380.0000,    5051060.0000,         18.5000,         60.0000,         62.7873,         17.1363,          0.8475,          0.2320
    1226380.0000,    5051020.0000,         66.5000,          8.0000,         66.9795,         83.1402,          0.7146,          0.1558
    1226380.0000,    5050980.0000,         66.5000,         48.0000,         82.0137,         54.1781,          0.6969,          0.0677
    1226380.0000,    5050940.0000,         68.2500,         68.7500,         96.8743,         44.7909,          0.6866,          0.0230
    1226380.0000,    5050900.0000,         69.0000,         67.7500,         96.7009,         45.5237,          0.3186,          0.0035
    1226380.0000,    5050860.0000,        -66.0000,        -66.0000,         93.3381,        225.0000,          0.0000,          0.0000
    1226380.0000,    5050820.0000,        -66.0000,        -66.0000,         93.3381,        225.0000,          0.0000,          0.0000
    1226380.0000,    5050780.0000,        -66.0000,        -66.0000,         93.3381,        225.0000,          0.0000,          0.0000
    1226380.0000,    5050740.0000,        -66.0000,        -66.0000,         93.3381,        225.0000,          0.0000,          0.0000
    1226380.0000,    5050700.0000,        -66.0000,        -66.0000,         93.3381,        225.0000,          0.0000,          0.0000
    1226380.0000,    5050660.0000,        -66.0000,        -66.0000,         93.3381,        225.0000,          0.0000,          0.0000
    1226380.0000,    5050620.0000,        -66.0000,        -66.0000,         93.3381,        225.0000,          0.0000,          0.0000
    1226380.0000,    5050580.0000,        -66.0000,        -66.0000,         93.3381,        225.0000,          0.0000,          0.0000
    1226380.0000,    5050540.0000,        -66.0000,        -66.0000,         93.3381,        225.0000,          0.0000,          0.0000
    1226420.0000,    5055060.0000,          0.5000,          0.0000,          0.5000,         90.0000,          0.8524,          0.2019
    1226420.0000,    5055020.0000,         -0.5000,         -2.2500,          2.3049,        192.5288,          0.6447,          0.0560
    1226420.0000,    5054980.0000,         -0.2500,         -1.0000,          1.0308,        194.0362,          0.6644,          0.0628
    1226420.0000,    5054940.0000,         -1.7500,          0.0000,          1.7500,        270.0000,          0.7683,          0.1819
    1226420.0000,    5054900.0000,         30.5000,        -39.0000,         49.5101,        141.9728,          0.7924,          0.2908
    1226420.0000,    5054860.0000,         -3.2500,        -10.5000,         10.9915,        197.1985,          0.7347,          0.2826
    1226420.0000,    5054820.0000,         -0.7500,         -0.5000,          0.9014,        236.3099,          0.5929,          0.0836
    1226420.0000,    5054780.0000,         -0.7500,         -0.2500,          0.7906,        251.5650,          0.7024,          0.0552
    1226420.0000,    5054740.0000,          0.2500,         -0.2500,          0.3536,        135.0000,          0.9339,          0.1719
    1226420.0000,    5054700.0000,          0.2500,         -0.2500,          0.3536,        135.0000,          0.8582,          0.0570
    1226420.0000,    5054660.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.8722,          0.0664
    1226420.0000,    5054620.0000,         -0.5000,          0.0000,          0.5000,        270.0000,          0.9038,          0.0766
    1226420.0000,    5054580.0000,         -0.7500,          0.0000,          0.7500,        270.0000,          0.9401,          0.0862
    1226420.0000,    5054540.0000,         -0.2500,         -0.5000,          0.5590,        206.5650,          0.7426,          0.0946
    1226420.0000,    5054500.0000,         26.0000,         -3.0000,         26.1725,         96.5819,          0.7922,          0.1606
    1226420.0000,    5054460.0000,         56.0000,        -19.2500,         59.2162,        108.9704,          0.6247,          0.0777
    1226420.0000,    5054420.0000,         -0.7500,         -3.7500,          3.8243,        191.3099,          0.5689,          0.0972
    1226420.0000,    5054380.0000,          0.0000,         -1.2500,          1.2500,        180.0000,          0.4540,          0.0296
    1226420.0000,    5054340.0000,         -0.2500,         -1.5000,          1.5207,        189.4623,          0.3701,          0.0397
    1226420.0000,    5054300.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.8653,          0.0517
    1226420.0000,    5054260.0000,         -0.2500,          0.2500,          0.3536,        315.0000,          0.7842,          0.0263
    1226420.0000,    5054220.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.4903,          0.0295
    1226420.0000,    5054180.0000,         -0.2500,         -0.2500,          0.3536,        225.0000,          0.6311,          0.0409
    1226420.0000,    5054140.0000,         -0.2500,          0.5000,          0.5590,        333.4350,          0.9019,          0.0582
    1226420.0000,    5054100.0000,         -0.5000,         -0.5000,          0.7071,        225.0000,          0.8970,          0.0777
    1226420.0000,    5054060.0000,         -0.2500,          0.0000,          0.2500,        270.0000,          0.7391,          0.0275
    1226420.0000,    5054020.0000,         -0.2500,          0.0000,          0.2500,        270.0000,          0.6915,          0.0813
    1226420.0000,    5053980.0000,         -0.2500,         -0.2500,          0.3536,        225.0000,          0.6510,          0.2156
    1226420.0000,    5053940.0000,          3.2500,          2.5000,          4.1003,         52.4314,          0.7372,          0.2473
    1226420.0000,    5053900.0000,         -3.5000,         62.7500,         62.8475,        356.8075,          0.6224,          0.2292
    1226420.0000,    5053860.0000,         24.7500,         -7.7500,         25.9350,        107.3870,          0.5401,          0.1310
    1226420.0000,    5053820.0000,         35.7500,         20.0000,         40.9642,         60.7756,          0.5141,          0.1749
    1226420.0000,    5053780.0000,          8.7500,         -9.0000,         12.5524,        135.8069,          0.3329,          0.0948
    1226420.0000,    5053740.0000,          1.0000,         -1.5000,          1.8028,        146.3099,          0.9361,          0.4095
    1226420.0000,    5053700.0000,          0.7500,         -1.7500,          1.9039,        156.8014,          0.9530,          0.4387
    1226420.0000,    5053660.0000,        -52.5000,        -61.7500,         81.0513,        220.3713,          0.3323,          0.1538
