 X,Y,dx,dy,length,direction,max_corrcoeff,avg_corrcoeff
    1226380.0000,    5055060.0000,         -0.5000,         -0.2500,          0.5590,        243.4349,          0.8844,          0.1705
    1226380.0000,    5055020.0000,         -0.2500,         -3.0000,          3.0104,        184.7636,          0.8876,          0.2320
    1226380.0000,    5054980.0000,         -0.2500,          0.0000,          0.2500,        270.0000,          0.9763,          0.3248
    1226380.0000,    5054940.0000,         -0.2500,         -0.5000,          0.5590,        206.5650,          0.9624,          0.3527
    1226380.0000,    5054900.0000,         -0.2500,         -2.0000,          2.0156,        187.1250,          0.9617,          0.3766
    1226380.0000,    5054860.0000,          0.0000,         -2.0000,          2.0000,        180.0000,          0.9889,          0.4323
    1226380.0000,    5054820.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9908,          0.4286
    1226380.0000,    5054780.0000,          0.0000,         -0.5000,          0.5000,        180.0000,          0.9926,          0.3612
    1226380.0000,    5054740.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9928,          0.3568
    1226380.0000,    5054700.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9933,          0.3462
    1226380.0000,    5054660.0000,          0.0000,          0.2500,          0.2500,          0.0000,          0.9814,          0.3517
    1226380.0000,    5054620.0000,          0.0000,          0.2500,          0.2500,          0.0000,          0.9731,          0.3014
    1226380.0000,    5054580.0000,          0.0000,          0.2500,          0.2500,          0.0000,          0.9908,          0.2954
    1226380.0000,    5054540.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9938,          0.2973
    1226380.0000,    5054500.0000,          0.0000,          8.0000,          8.0000,          0.0000,          0.9611,          0.2759
    1226380.0000,    5054460.0000,          0.0000,         11.7500,         11.7500,          0.0000,          0.9414,          0.2757
    1226380.0000,    5054420.0000,          0.0000,         -1.0000,          1.0000,        180.0000,          0.9682,          0.2803
    1226380.0000,    5054380.0000,          0.0000,         -0.2500,          0.2500,        180.0000,          0.9468,          0.2684
    1226380.0000,    5054340.0000,          0.0000,         -1.0000,          1.0000,        180.0000,          0.9487,          0.2539
    1226380.0000,    5054300.0000,          0.2500,         -1.0000,          1.0308,        165.9638,          0.9777,          0.2840
    1226380.0000,    5054260.0000,          0.0000,         -0.7500,          0.7500,        180.0000,          0.8962,          0.2604
    1226380.0000,    5054220.0000,          0.0000,         -0.2500,          0.2500,        180.0000,          0.9271,          0.2981
    1226380.0000,    5054180.0000,          0.2500,          0.2500,          0.3536,         45.0000,          0.9627,          0.3647
    1226380.0000,    5054140.0000,          0.5000,         -0.5000,          0.7071,        135.0000,          0.9295,          0.3134
    1226380.0000,    5054100.0000,          0.0000,         -1.2500,          1.2500,        180.0000,          0.9697,          0.2663
    1226380.0000,    5054060.0000,          0.0000,         -1.2500,          1.2500,        180.0000,          0.9833,          0.2397
    1226380.0000,    5054020.0000,          0.0000,         -0.2500,          0.2500,        180.0000,          0.9855,          0.2888
    1226380.0000,    5053980.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9818,          0.4113
    1226380.0000,    5053940.0000,         -0.2500,          2.0000,          2.0156,        352.8750,          0.9964,          0.4663
    1226380.0000,    5053900.0000,         -0.2500,         30.0000,         30.0010,        359.5225,          0.9945,          0.4481
    1226380.0000,    5053860.0000,          0.2500,          4.0000,          4.0078,          3.5763,          0.9878,          0.3973
    1226380.0000,    5053820.0000,          0.2500,         66.0000,         66.0005,          0.2170,          0.8815,          0.3090
    1226380.0000,    5053780.0000,          0.0000,         50.0000,         50.0000,          0.0000,          0.8729,          0.2507
    1226380.0000,    5053740.0000,          0.0000,         -1.2500,          1.2500,        180.0000,          0.9712,          0.2547
    1226380.0000,    5053700.0000,          0.0000,         -6.0000,          6.0000,        180.0000,          0.9971,          0.2901
    1226380.0000,    5053660.0000,          0.0000,        -64.0000,         64.0000,        180.0000,          0.9980,          0.3173
    1226380.0000,    5053620.0000,         -0.2500,         36.0000,         36.0009,        359.6021,          0.9964,          0.3257
    1226380.0000,    5053580.0000,          0.0000,         30.0000,         30.0000,          0.0000,          0.9941,          0.3153
    1226380.0000,    5053540.0000,          0.0000,         32.0000,         32.0000,          0.0000,          0.9888,          0.2986
    1226380.0000,    5053500.0000,          0.0000,         30.0000,         30.0000,          0.0000,          0.9836,          0.2959
    1226380.0000,    5053460.0000,          0.0000,         30.0000,         30.0000,          0.0000,          0.9817,          0.2971
    1226380.0000,    5053420.0000,          0.0000,          0.0000,          0.0000,         45.0000,          0.9924,          0.3142
    1226380.0000,    5053380.0000,          0.0000,         60.0000,         60.0000,          0.0000,          0.9978,          0.3415
    1226380.0000,    5053340.0000,          0.0000,         52.0000,         52.0000,          0.0000,          0.9952,          0.3707
    1226380.0000,    5053300.0000,         -0.2500,        -62.0000,         62.0005,        180.2310,          0.9899,          0.3949
